PMT 69 : Orientation H : Layer 2 : Origin (-737.5,0,3616) : Extent (-1473.5→-1.5, -100→100, 3610→3616)
PMT 70 : Orientation H : Layer 2 : Origin (737.5,203,3616) : Extent (1.5→1473.5, 103→303, 3610→3616)
PMT 71 : Orientation H : Layer 2 : Origin (-737.5,203,3616) : Extent (-1473.5→-1.5, 103→303, 3610→3616)
PMT 72 : Orientation H : Layer 2 : Origin (737.5,406,3616) : Extent (1.5→1473.5, 306→506, 3610→3616)
PMT 73 : Orientation H : Layer 2 : Origin (-737.5,406,3616) : Extent (-1473.5→-1.5, 306→506, 3610→3616)
PMT 74 : Orientation H : Layer 2 : Origin (737.5,609,3616) : Extent (1.5→1473.5, 509→709, 3610→3616)
PMT 75 : Orientation H : Layer 2 : Origin (-737.5,609,3616) : Extent (-1473.5→-1.5, 509→709, 3610→3616)
PMT 76 : Orientation H : Layer 2 : Origin (737.5,812,3616) : Extent (1.5→1473.5, 712→912, 3610→3616)
PMT 77 : Orientation H : Layer 2 : Origin (-737.5,812,3616) : Extent (-1473.5→-1.5, 712→912, 3610→3616)
PMT 78 : Orientation H : Layer 2 : Origin (737.5,1015,3616) : Extent (1.5→1473.5, 915→1115, 3610→3616)
PMT 79 : Orientation H : Layer 2 : Origin (-737.5,1015,3616) : Extent (-1473.5→-1.5, 915→1115, 3610→3616)
PMT 80 : Orientation H : Layer 2 : Origin (737.5,1218,3616) : Extent (1.5→1473.5, 1118→1318, 3610→3616)
PMT 81 : Orientation H : Layer 2 : Origin (-737.5,1218,3616) : Extent (-1473.5→-1.5, 1118→1318, 3610→3616)
PMT 82 : Orientation V : Layer 3 : Origin (-1224,652.5,3740.6) : Extent (-1299→-1149, 1.5→1303.5, 3734.6→3740.6)
PMT 83 : Orientation V : Layer 3 : Origin (-1224,-652.5,3740.6) : Extent (-1299→-1149, -1303.5→-1.5, 3734.6→3740.6)
PMT 84 : Orientation V : Layer 3 : Origin (-1071,652.5,3740.6) : Extent (-1146→-996, 1.5→1303.5, 3734.6→3740.6)
PMT 85 : Orientation V : Layer 3 : Origin (-1071,-652.5,3740.6) : Extent (-1146→-996, -1303.5→-1.5, 3734.6→3740.6)
PMT 86 : Orientation V : Layer 3 : Origin (-918,652.5,3740.6) : Extent (-993→-843, 1.5→1303.5, 3734.6→3740.6)
PMT 87 : Orientation V : Layer 3 : Origin (-918,-652.5,3740.6) : Extent (-993→-843, -1303.5→-1.5, 3734.6→3740.6)
PMT 88 : Orientation V : Layer 3 : Origin (-765,652.5,3740.6) : Extent (-840→-690, 1.5→1303.5, 3734.6→3740.6)
PMT 89 : Orientation V : Layer 3 : Origin (-765,-652.5,3740.6) : Extent (-840→-690, -1303.5→-1.5, 3734.6→3740.6)
PMT 90 : Orientation V : Layer 3 : Origin (-612,652.5,3740.6) : Extent (-687→-537, 1.5→1303.5, 3734.6→3740.6)
PMT 91 : Orientation V : Layer 3 : Origin (-612,-652.5,3740.6) : Extent (-687→-537, -1303.5→-1.5, 3734.6→3740.6)
PMT 92 : Orientation V : Layer 3 : Origin (-459,652.5,3740.6) : Extent (-534→-384, 1.5→1303.5, 3734.6→3740.6)
PMT 93 : Orientation V : Layer 3 : Origin (-459,-652.5,3740.6) : Extent (-534→-384, -1303.5→-1.5, 3734.6→3740.6)
PMT 94 : Orientation V : Layer 3 : Origin (-306,652.5,3740.6) : Extent (-381→-231, 1.5→1303.5, 3734.6→3740.6)
PMT 95 : Orientation V : Layer 3 : Origin (-306,-652.5,3740.6) : Extent (-381→-231, -1303.5→-1.5, 3734.6→3740.6)
PMT 96 : Orientation V : Layer 3 : Origin (-153,652.5,3740.6) : Extent (-228→-78, 1.5→1303.5, 3734.6→3740.6)
PMT 97 : Orientation V : Layer 3 : Origin (-153,-652.5,3740.6) : Extent (-228→-78, -1303.5→-1.5, 3734.6→3740.6)
PMT 98 : Orientation V : Layer 3 : Origin (0,652.5,3740.6) : Extent (-75→75, 1.5→1303.5, 3734.6→3740.6)
PMT 99 : Orientation V : Layer 3 : Origin (0,-652.5,3740.6) : Extent (-75→75, -1303.5→-1.5, 3734.6→3740.6)
PMT 100 : Orientation V : Layer 3 : Origin (153,652.5,3740.6) : Extent (78→228, 1.5→1303.5, 3734.6→3740.6)
PMT 101 : Orientation V : Layer 3 : Origin (153,-652.5,3740.6) : Extent (78→228, -1303.5→-1.5, 3734.6→3740.6)
PMT 102 : Orientation V : Layer 3 : Origin (306,652.5,3740.6) : Extent (231→381, 1.5→1303.5, 3734.6→3740.6)
PMT 103 : Orientation V : Layer 3 : Origin (306,-652.5,3740.6) : Extent (231→381, -1303.5→-1.5, 3734.6→3740.6)
PMT 104 : Orientation V : Layer 3 : Origin (459,652.5,3740.6) : Extent (384→534, 1.5→1303.5, 3734.6→3740.6)
PMT 105 : Orientation V : Layer 3 : Origin (459,-652.5,3740.6) : Extent (384→534, -1303.5→-1.5, 3734.6→3740.6)
PMT 106 : Orientation V : Layer 3 : Origin (612,652.5,3740.6) : Extent (537→687, 1.5→1303.5, 3734.6→3740.6)
PMT 107 : Orientation V : Layer 3 : Origin (612,-652.5,3740.6) : Extent (537→687, -1303.5→-1.5, 3734.6→3740.6)
PMT 108 : Orientation V : Layer 3 : Origin (765,652.5,3740.6) : Extent (690→840, 1.5→1303.5, 3734.6→3740.6)
PMT 109 : Orientation V : Layer 3 : Origin (765,-652.5,3740.6) : Extent (690→840, -1303.5→-1.5, 3734.6→3740.6)
PMT 110 : Orientation V : Layer 3 : Origin (918,652.5,3740.6) : Extent (843→993, 1.5→1303.5, 3734.6→3740.6)
PMT 111 : Orientation V : Layer 3 : Origin (918,-652.5,3740.6) : Extent (843→993, -1303.5→-1.5, 3734.6→3740.6)
PMT 112 : Orientation V : Layer 3 : Origin (1071,652.5,3740.6) : Extent (996→1146, 1.5→1303.5, 3734.6→3740.6)
PMT 113 : Orientation V : Layer 3 : Origin (1071,-652.5,3740.6) : Extent (996→1146, -1303.5→-1.5, 3734.6→3740.6)
PMT 114 : Orientation V : Layer 3 : Origin (1224,652.5,3740.6) : Extent (1149→1299, 1.5→1303.5, 3734.6→3740.6)
PMT 115 : Orientation V : Layer 3 : Origin (1224,-652.5,3740.6) : Extent (1149→1299, -1303.5→-1.5, 3734.6→3740.6)
PMT 116 : Orientation H : Layer 4 : Origin (737.5,-1218,3865.2) : Extent (1.5→1473.5, -1318→-1118, 3859.2→3865.2)
PMT 117 : Orientation H : Layer 4 : Origin (-737.5,-1218,3865.2) : Extent (-1473.5→-1.5, -1318→-1118, 3859.2→3865.2)
PMT 118 : Orientation H : Layer 4 : Origin (737.5,-1015,3865.2) : Extent (1.5→1473.5, -1115→-915, 3859.2→3865.2)
PMT 119 : Orientation H : Layer 4 : Origin (-737.5,-1015,3865.2) : Extent (-1473.5→-1.5, -1115→-915, 3859.2→3865.2)
PMT 120 : Orientation H : Layer 4 : Origin (737.5,-812,3865.2) : Extent (1.5→1473.5, -912→-712, 3859.2→3865.2)
PMT 121 : Orientation H : Layer 4 : Origin (-737.5,-812,3865.2) : Extent (-1473.5→-1.5, -912→-712, 3859.2→3865.2)
PMT 122 : Orientation H : Layer 4 : Origin (737.5,-609,3865.2) : Extent (1.5→1473.5, -709→-509, 3859.2→3865.2)
PMT 123 : Orientation H : Layer 4 : Origin (-737.5,-609,3865.2) : Extent (-1473.5→-1.5, -709→-509, 3859.2→3865.2)
PMT 124 : Orientation H : Layer 4 : Origin (737.5,-406,3865.2) : Extent (1.5→1473.5, -506→-306, 3859.2→3865.2)
PMT 125 : Orientation H : Layer 4 : Origin (-737.5,-406,3865.2) : Extent (-1473.5→-1.5, -506→-306, 3859.2→3865.2)
PMT 126 : Orientation H : Layer 4 : Origin (737.5,-203,3865.2) : Extent (1.5→1473.5, -303→-103, 3859.2→3865.2)
PMT 127 : Orientation H : Layer 4 : Origin (-737.5,-203,3865.2) : Extent (-1473.5→-1.5, -303→-103, 3859.2→3865.2)
PMT 128 : Orientation H : Layer 4 : Origin (737.5,0,3865.2) : Extent (1.5→1473.5, -100→100, 3859.2→3865.2)
PMT 129 : Orientation H : Layer 4 : Origin (-737.5,0,3865.2) : Extent (-1473.5→-1.5, -100→100, 3859.2→3865.2)
PMT 130 : Orientation H : Layer 4 : Origin (737.5,203,3865.2) : Extent (1.5→1473.5, 103→303, 3859.2→3865.2)
PMT 131 : Orientation H : Layer 4 : Origin (-737.5,203,3865.2) : Extent (-1473.5→-1.5, 103→303, 3859.2→3865.2)
PMT 132 : Orientation H : Layer 4 : Origin (737.5,406,3865.2) : Extent (1.5→1473.5, 306→506, 3859.2→3865.2)
PMT 133 : Orientation H : Layer 4 : Origin (-737.5,406,3865.2) : Extent (-1473.5→-1.5, 306→506, 3859.2→3865.2)
PMT 134 : Orientation H : Layer 4 : Origin (737.5,609,3865.2) : Extent (1.5→1473.5, 509→709, 3859.2→3865.2)
PMT 135 : Orientation H : Layer 4 : Origin (-737.5,609,3865.2) : Extent (-1473.5→-1.5, 509→709, 3859.2→3865.2)
PMT 136 : Orientation H : Layer 4 : Origin (737.5,812,3865.2) : Extent (1.5→1473.5, 712→912, 3859.2→3865.2)
PMT 137 : Orientation H : Layer 4 : Origin (-737.5,812,3865.2) : Extent (-1473.5→-1.5, 712→912, 3859.2→3865.2)
PMT 138 : Orientation H : Layer 4 : Origin (737.5,1015,3865.2) : Extent (1.5→1473.5, 915→1115, 3859.2→3865.2)
PMT 139 : Orientation H : Layer 4 : Origin (-737.5,1015,3865.2) : Extent (-1473.5→-1.5, 915→1115, 3859.2→3865.2)
PMT 140 : Orientation H : Layer 4 : Origin (737.5,1218,3865.2) : Extent (1.5→1473.5, 1118→1318, 3859.2→3865.2)
PMT 141 : Orientation H : Layer 4 : Origin (-737.5,1218,3865.2) : Extent (-1473.5→-1.5, 1118→1318, 3859.2→3865.2)
PMT 142 : Orientation V : Layer 5 : Origin (-1218,652.5,3986.3) : Extent (-1318→-1118, 1.5→1303.5, 3980.3→3986.3)
PMT 143 : Orientation V : Layer 5 : Origin (-1218,-652.5,3986.3) : Extent (-1318→-1118, -1303.5→-1.5, 3980.3→3986.3)
